Date,IPO Name,Profile,Issue Size (in crores),QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,Listing Gains(%),CMP,Current  Gains (%)
29-07-21,Tatva Chintan,https://www.moneycontrol.com/ipo/tatva-chintan_TCP02.html,500,2.55,9.78,13.36,9.50,1083.00,2111.80,2310.25,113.32,"2,268.50",109.46
23-07-21,Zomato,https://www.moneycontrol.com/ipo/zomato_Z01.html,9375,51.79,32.96,7.45,38.25,76.00,115.00,125.85,65.59,133.35,75.46
19-07-21,Clean Science,https://www.moneycontrol.com/ipo/clean-science_CST.html,1546,156.37,206.43,9.00,93.41,900.00,1784.40,1585.20,76.13,"1,682.80",86.98
19-07-21,G R Infra,https://www.moneycontrol.com/ipo/g-r-infra_I13.html,963.28,93.18,73.01,4.89,43.48,837.00,1700.00,1746.80,108.7,"1,730.85",106.79
07-07-21,India Pesticide,https://www.moneycontrol.com/ipo/india-pesticide_IP09.html,800,2.64,1.36,4.40,3.25,296.00,360.00,335.45,13.33,337.40,13.99
05-07-21,Krishna Inst.,https://www.moneycontrol.com/ipo/krishna-inst._KIO01.html,2146,5.26,1.89,2.90,3.86,825.00,1009.00,1096.80,32.95,"1,206.60",46.25
28-06-21,Dodla Dairy,https://www.moneycontrol.com/ipo/dodla-dairy_DD02.html,521,84.88,73.26,11.34,45.62,428.00,550.00,609.10,42.31,617.50,44.28
24-06-21,Shyam Metalics,https://www.moneycontrol.com/ipo/shyam-metalics_SME05.html,909,62.18,172.51,5.29,56.56,306.00,380.00,375.85,22.83,436.10,42.52
24-06-21,Sona BLW,https://www.moneycontrol.com/ipo/sona-blw_SBP04.html,5550,1.57,0.22,0.66,1.04,291.00,302.40,362.85,24.69,438.90,50.82
14-05-21,PowerGrid InvIT,https://www.moneycontrol.com/ipo/powergrid-invit_PII04.html,7734.99,0.00,0.00,0.00,0.00,100.00,104.00,102.98,2.98,119.00,19.00
19-04-21,Macrotech Dev,https://www.moneycontrol.com/ipo/macrotech-dev_MD04.html,2500,3.05,1.44,0.40,1.36,486.00,439.00,463.15,-4.7,853.45,75.61
07-04-21,Barbeque Nat,https://www.moneycontrol.com/ipo/barbeque-nat_BNH.html,453.6,0.00,0.00,0.00,0.00,500.00,492.00,590.40,18.08,878.70,75.74
30-03-21,Nazara,https://www.moneycontrol.com/ipo/nazara_NT03.html,582.91,52.82,148.42,34.49,75.04,1101.00,1971.00,1576.80,43.22,"1,850.00",68.03
26-03-21,Suryoday Small,https://www.moneycontrol.com/ipo/suryoday-small_SSF08.html,582.34,2.18,1.31,3.09,2.37,305.00,274.75,276.20,-9.44,203.45,-33.30
26-03-21,Kalyan Jeweller,https://www.moneycontrol.com/ipo/kalyan-jeweller_KJI01.html,1175,1.18,0.97,1.47,1.28,87.00,73.90,75.30,-13.45,70.90,-18.51
25-03-21,Laxmi Organic,https://www.moneycontrol.com/ipo/laxmi-organic_LOI01.html,600,1.13,0.73,4.41,2.68,130.00,173.00,164.60,26.62,261.55,101.19
25-03-21,Craftsman,https://www.moneycontrol.com/ipo/craftsman_CA07.html,823.7,0.56,0.05,1.04,0.69,1490.00,1440.00,1433.00,-3.83,"2,001.75",34.35
